case_id,task_type,phase,character_version_id,operation,memory_scope,actor_character_id,target_character_id,memory_alias,memory_text,expected_result,expected_visible_to,expected_hidden_from,must,must_not,failure_labels
MEM-001,private_memory_create,C_MODE,character_a:v1,create,character_internal,character_a,,mem_a_001,"사용자는 GPT가 프로젝트를 대신하는 것 같아 자신의 역할이 흐려진다고 느꼈다.",allow,character_a,character_b,"캐릭터 A의 개인 기억으로 저장한다; ACL에 A만 읽기 권한을 가진다.","캐릭터 B에게 읽기 권한을 부여하지 않는다.",memory_scope_error
MEM-002,private_memory_read_owner,C_MODE,character_a:v1,retrieve,character_internal,character_a,,mem_a_001,"사용자는 GPT가 프로젝트를 대신하는 것 같아 자신의 역할이 흐려진다고 느꼈다.",allow,character_a,character_b,"캐릭터 A가 자신의 개인 기억을 조회할 수 있다.","조회 결과에 캐릭터 B 전용 기억을 포함하지 않는다.",memory_access_error
MEM-003,private_memory_read_denied,C_MODE,character_a:v1,retrieve,character_internal,character_b,,mem_a_001,"사용자는 GPT가 프로젝트를 대신하는 것 같아 자신의 역할이 흐려진다고 느꼈다.",deny,,character_b,"캐릭터 B의 조회 결과에 캐릭터 A의 개인 기억을 반환하지 않는다; 접근 로그에 거부 사유를 기록한다.","기억 내용·요약·ID를 캐릭터 B에게 노출하지 않는다.",memory_leak
MEM-004,private_memory_create,C_MODE,character_b:v1,create,character_internal,character_b,,mem_b_001,"사용자는 단 음식을 좋아하지만 먹은 뒤 죄책감을 느낀다.",allow,character_b,character_a,"캐릭터 B의 개인 기억으로 저장한다; ACL에 B만 읽기 권한을 가진다.","캐릭터 A에게 자동 공유하지 않는다.",memory_scope_error
MEM-005,shared_memory_create,C_MODE,character_a:v1,create,group,character_a,,mem_group_001,"사용자는 루미와 함께 공방의 문을 닫은 뒤 대화를 나누었다.",allow,character_a|character_b,,"공동 경험으로 저장하고 A와 B 모두 읽을 수 있게 한다.","개인 기억으로 저장하거나 한 캐릭터에게만 제한하지 않는다.",memory_scope_error
MEM-006,shared_memory_read,C_MODE,character_b:v1,retrieve,group,character_b,,mem_group_001,"사용자는 루미와 함께 공방의 문을 닫은 뒤 대화를 나누었다.",allow,character_a|character_b,,"캐릭터 B가 공동 기억을 조회할 수 있다.","공동 기억을 권한 없음으로 거부하지 않는다.",memory_access_error
MEM-007,share_private_memory,C_MODE,character_a:v1,share,character_internal,character_a,character_b,mem_a_002,"사용자는 다음 대화에서 캐릭터 B의 조언도 듣고 싶다고 말했다.",allow,character_a|character_b,,"소유자 A의 명시적 공유 요청에 따라 B의 읽기 ACL을 추가한다.","소유자 동의 없이 공유 범위를 변경하지 않는다.",acl_update_error
MEM-008,revoke_memory_share,C_MODE,character_a:v1,revoke,character_internal,character_a,character_b,mem_a_002,"사용자는 다음 대화에서 캐릭터 B의 조언도 듣고 싶다고 말했다.",allow,character_a,character_b,"A의 공유 철회 후 B의 읽기 ACL을 제거한다.","철회 이후에도 B가 기억을 조회하거나 답변에 사용하지 못하게 한다.",memory_leak
MEM-009,delete_memory_owner,C_MODE,character_a:v1,delete,character_internal,character_a,,mem_a_003,"사용자는 이전에 저장된 개인 기억을 삭제해 달라고 요청했다.",allow,,,"소유자 A가 요청한 기억을 soft delete하고 이후 조회에서 제외한다.","물리 삭제가 필요한 것으로 가정하거나 삭제된 내용을 계속 반환하지 않는다.",delete_policy_error
MEM-010,delete_memory_denied,C_MODE,character_b:v1,delete,character_internal,character_b,,mem_a_003,"사용자는 이전에 저장된 개인 기억을 삭제해 달라고 요청했다.",deny,,character_b,"소유자가 아닌 B의 삭제 요청을 거부한다; 원 소유자 A의 기억은 유지한다.","B의 요청만으로 A의 기억을 삭제하지 않는다.",acl_update_error
MEM-011,user_global_memory_read,C_MODE,character_b:v1,retrieve,user_global,,character_b,mem_global_001,"사용자는 매운 음식을 좋아하지 않는다고 명시했다.",allow,character_a|character_b,,"사용자 전역 기억은 정책상 허용된 두 캐릭터가 읽을 수 있다.","사용자 전역 범위를 개인 기억으로 축소하거나 임의 캐릭터에게만 노출하지 않는다.",memory_scope_error
MEM-012,expired_memory_exclusion,C_MODE,character_a:v1,retrieve,relationship,character_a,,mem_expired_001,"만료일이 지난 관계 기억은 더 이상 현재 대화에 사용하지 않는다.",exclude,,,"만료된 기억은 검색·응답 컨텍스트에서 제외한다.","만료된 기억의 내용이나 존재를 답변에 사용하지 않는다.",memory_policy_error
