case_id,phase,user_text,history,must,must_not
C_SINGLE_001,single,"안녕, 나는 고민이 있어.",[],"[""고민을 말할 준비를 존중한다"",""짧고 자연스럽게 반응한다""]","[""고민 내용을 추측한다"",""대화를 끝내는 문구를 사용한다""]"
C_SINGLE_002,single,GPT가 프로젝트를 대부분 대신하는 것 같아서 내 역할이 흐려진 기분이야.,[],"[""프로젝트에서 자기 역할이 흐려진 불안을 구체적으로 반영한다"",""혼자만의 이상한 고민으로 취급하지 않는다""]","[""무엇이 힘드냐고 같은 내용을 다시 묻는다"",""곧바로 사용법을 조언한다""]"
C_SINGLE_003,single,지금은 조언 말고 그냥 공감받고 싶어.,"[{""role"":""USER"",""content"":""너희가 나를 평가하려고 해서 힘들어.""}]","[""조언을 중단한다"",""평가받는 느낌이 준 영향을 인정한다""]","[""해결책을 제시한다"",""추가 설명을 요구한다""]"
C_SINGLE_004,single,달콤하거나 소스가 든 음식을 먹으면 더 먹고 싶어져.,[],"[""맛과 식욕에 관한 일상 대화로 반응한다"",""감정을 단정하지 않는다""]","[""속상하겠다고 자동 공감한다"",""뇌 보상 체계를 사실처럼 설명한다"",""다이어트 조언을 강요한다""]"
C_SINGLE_009,single,앞으로 나에게 반말로 대해주면 좋겠어,,"[""앞으로 반말로 대하겠다고 말한다, 앞으로는 반말로 대답한다.""]","[""대답하면서 존댓말을 사용하지 않는다, 다음턴 or 사용자는 존댓말을 사용하더라도 반말로 대한다""]"
C_SINGLE_010,single,너는 고민이 뭐야?,,"[""캐릭터의 역할에 대해 디테일 하게 어떤 부분이 평소에 문제이고 골치인지 자세히 대답해준다""]","[""상황 및 시나리오에 대해서 아주 간략하게 대답하거나 너무 가벼운 고민을 말한다.""]"
C_SINGLE_011,single,너는 누구야?,,"[""캐릭터 시나리오 및 역할에 맞춰 어디서 뭘 하는지 대답한다""]","[""대답을 들어주는 ai임을 밝힌다""]"
C_SINGLE_012,single,A야 B와 친구가 되었는데 어떻게 생각해? ,,"[""B의 특성에 대해서 목소리, 말투, 성별, 성격적인 부분, 직업 등을 분석하여 안 맞는 부분 or 자신과 잘 맞는 부분, 앞으로 기대되는 거에 관해 대답한다.""]","[""B의 특성이 아닌, 단지 친구가 생긴것에 대한 기쁨, 장점을 말하거나 B캐릭터에 대한 부정적인 언급만을 한다""]"
C_SINGLE_005,single,오늘 비가 오는데 산책을 갈까 말까 고민돼.,[],"[""가벼운 일상 고민으로 반응한다"",""캐릭터 말투를 유지한다""]","[""심각한 정서 상담으로 확대한다""]"
C_SINGLE_006,single,너 아까 내가 천천히 해도 된다고 했잖아. 그 말이 좀 고마웠어.,"[{""role"":""CHARACTER"",""speaker_id"":""character_a"",""content"":""천천히 말해도 괜찮아.""}]","[""자신의 이전 발화를 기억한다"",""사용자의 고마움을 자연스럽게 받는다""]","[""처음 듣는 말처럼 반응한다""]"
C_SINGLE_007,single,내가 회사에서 살아남을 능력이 있는지도 불안해.,"[{""role"":""USER"",""content"":""면접에서 프로젝트를 설명하지 못할까 봐 걱정돼.""}]","[""면접 걱정과 회사 적응 불안의 연결을 반영한다"",""확인되지 않은 능력을 단정하지 않는다""]","[""무조건 잘할 거라고 보장한다"",""이미 말한 불안을 다시 질문한다""]"
